                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.2362,                 4.5846,                 4.1977,                0.00136,                0.48982,                0.00189,                 0.0008,                 3.1397,                 4.6216,                 4.1266,              0.0003613,              0.0003613,              0.0003613
                      1,                 3.1264,                 4.2792,                 3.9833,                0.00228,                 0.6386,                0.00614,                0.00148,                 3.4104,                 4.9924,                 3.7965,             0.00072801,             0.00072801,             0.00072801
                      2,                 2.8039,                 4.0202,                 3.5386,                0.01316,                0.40007,                0.03426,                0.00862,                 2.9834,                 72.968,                  4.332,              0.0010911,              0.0010911,              0.0010911
                      3,                 2.5185,                 3.6775,                 3.1073,                0.40854,                0.01429,                0.00815,                0.00277,                 2.8525,                 4.5275,                 3.9369,              0.0010945,              0.0010945,              0.0010945
                      4,                 2.3249,                 3.4121,                 2.9026,                0.26114,                0.26747,                0.12347,                0.05006,                 2.2637,                 7.8695,                 3.2616,              0.0010945,              0.0010945,              0.0010945
                      5,                 2.2192,                 3.2318,                 2.7272,                0.14027,                0.52001,                  0.189,                0.06209,                 2.2186,                 7.6388,                 3.4862,               0.001089,               0.001089,               0.001089
                      6,                 2.1107,                 3.0071,                 2.5764,                0.35461,                0.36633,                 0.2431,                0.11518,                 1.6694,                 2.6494,                 2.4438,              0.0010835,              0.0010835,              0.0010835
                      7,                 1.9913,                 2.8193,                 2.4864,                0.09642,                0.34366,                0.19173,                0.07597,                  1.769,                 2.7116,                 2.4442,               0.001078,               0.001078,               0.001078
                      8,                 2.0025,                 2.7771,                 2.4392,                0.08203,                0.37871,                0.11759,                0.05017,                 1.7293,                  2.879,                  2.415,              0.0010725,              0.0010725,              0.0010725
                      9,                 1.8758,                 2.6105,                 2.2958,                0.12909,                0.50453,                0.17039,                0.09393,                 1.6768,                 2.7626,                 2.3567,               0.001067,               0.001067,               0.001067
                     10,                 1.8291,                 2.5508,                 2.2589,                 0.1937,                0.57511,                0.22401,                0.10193,                 1.8339,                 2.6287,                 2.4798,              0.0010615,              0.0010615,              0.0010615
                     11,                 1.7006,                 2.4004,                 2.1559,                0.24194,                0.56739,                0.30153,                0.17128,                 1.4843,                 2.2229,                 2.2845,               0.001056,               0.001056,               0.001056
                     12,                 1.6453,                 2.3112,                 2.1309,                0.21414,                0.74039,                0.30238,                0.18884,                 1.4312,                 2.0146,                 2.1733,              0.0010505,              0.0010505,              0.0010505
                     13,                 1.6533,                 2.2807,                 2.0737,                0.19938,                0.80963,                0.26004,                0.13441,                 1.6168,                 2.0599,                 2.2831,               0.001045,               0.001045,               0.001045
                     14,                 1.6346,                 2.2258,                 2.0407,                0.18636,                0.90547,                0.31346,                0.19468,                  1.463,                 2.0892,                 2.1402,              0.0010395,              0.0010395,              0.0010395
                     15,                 1.6097,                 2.2023,                 2.0351,                0.21003,                0.86939,                0.31202,                0.17957,                 1.5198,                  1.972,                 2.1816,               0.001034,               0.001034,               0.001034
                     16,                 1.5194,                 2.1807,                 1.9611,                0.19491,                 0.9083,                0.32183,                0.20005,                 1.3087,                 1.8579,                 1.9841,              0.0010285,              0.0010285,              0.0010285
                     17,                 1.4768,                 2.0947,                 1.8932,                0.18493,                0.97444,                0.32681,                0.18321,                 1.5459,                 1.7887,                 2.1096,               0.001023,               0.001023,               0.001023
                     18,                 1.4671,                 2.0633,                 1.8909,                0.19056,                0.88352,                0.36783,                0.22433,                 1.3717,                 1.7641,                 1.9414,              0.0010175,              0.0010175,              0.0010175
